Subject,ChooseA_ACC,ChooseB_ACC,NumOfTrainingTrials,Pre_Incongruent_SimonRT,Pre_Congruent_SimonRT,Pre_CongruencyEffect_SimonRT,Pre_Incongruent_SimonACC,Pre_Congruent_SimonACC,Pre_CongruencyEffect_SimonACC,Pre_OPScore,Pre_RSScore,Pre_RavensScore,Pre_NDCompScore,ND_Percentile,Pre_Switch_RT,Pre_Repeat_RT,Pre_SwitchEffect_RT,Pre_Switch_ACC,Pre_Repeat_ACC,Pre_SwitchEffect_ACC,Pre_Lag2_T2T1,Pre_Lag3_T2T1,Pre_ABEffect1823_T2T1,Pre_Total_3BackACC,Pre_Distractor_3BackACC,Pre_Total_3BackRT,Pre_Distractor_3BackRT,Simon_ACC
28020,1,0.88,180,580.29,484.81,95.47,0.93,0.96,0.02,25,28,6,35,90,1626.42,979.36,647.06,1,0.8,0.2,0.84,0.95,0.08,0.59,0.7,1137.09,1148.43,0.96
28021,0.5,1,360,454.58,392.11,62.47,0.8,1,0.2,55,51,13,33,80,1229.4,891.45,337.95,0.98,1,-0.02,0.71,0.91,0.16,0.9,0.75,758.85,989.53,1
28022,0.5,0.75,120,429.77,408.32,21.45,0.87,0.98,0.11,48,50,12,34,83,1048.07,766.7,281.37,0.98,0.93,0.04,0.75,0.82,0.1,0.83,0.75,1244.15,1278.07,0.98
28023,0,1,60,486.21,475.89,10.33,0.93,0.98,0.04,46,3,12,35,90,1147.93,723.77,424.16,0.87,1,-0.13,0.77,0.78,0.14,0.75,0.7,840.55,1024.64,0.98
28024,0.5,0.5,360,667.79,484.55,183.24,0.93,0.98,0.04,50,10,9,30,62,1258.93,804.47,454.47,0.96,1,-0.04,0.81,0.7,0.18,0.78,0.8,1072.24,1235.63,0.98
28025,0.88,0.63,60,460.7,358.57,102.13,0.67,0.98,0.31,4,45,11,33,80,940.85,578.73,362.12,0.89,0.87,0.02,0.92,0.72,0.15,0.73,0.55,1151.34,1025.36,0.98
28026,0.88,0.88,60,453.27,404.72,48.55,1,0.96,-0.04,36,35,15,37,99,1137.92,741.4,396.52,0.93,0.87,0.07,1,0.96,-0.02,0.9,0.95,666.32,817.05,0.96
28028,0.38,0.88,120,486.08,420.07,66.01,0.87,0.96,0.09,41,31,17,38,99,1213.36,854.19,359.17,0.93,0.73,0.2,0.75,0.87,0.14,0.84,0.85,1126.04,1121.76,0.96
28029,0.63,0.75,360,486.93,428.91,58.02,0.93,0.98,0.04,8,0,13,30,62,1487.87,1196.96,290.91,1,1,0,0,0.15,0.47,0.86,0.7,704.25,889.07,0.98
28030,0.38,0.88,60,508.5,422.47,86.03,0.93,1,0.07,57,40,9,34,83,1293.73,890.93,402.8,0.96,1,-0.04,0.62,0.5,0.34,0.95,1,1021.64,1269.95,1
28031,0.88,1,240,490.57,476.93,13.64,0.93,1,0.07,43,44,12,38,99,1415.08,800.14,614.94,0.98,0.87,0.11,0.06,0.18,0.62,0.91,0.9,812.85,879.39,1
28032,0.63,0.88,240,591.86,483.27,108.59,0.93,1,0.07,65,34,9,30,62,1418.86,812.26,606.6,0.96,0.93,0.02,1,1,-0.05,0.94,1,1100,980.15,1
28033,0.88,0.75,180,426.82,363.02,63.8,0.73,0.98,0.24,62,20,11,38,99,1039.29,610.31,428.98,0.93,0.93,0,0.74,0.67,0.23,0.88,0.75,1198.6,1447.87,0.98
28034,99999,99999,320,534.47,506.7,27.77,1,0.96,-0.04,50,42,11,37,99,1234.91,626.91,608,0.98,0.73,0.24,0.42,0.52,0.28,0.91,0.9,1447.9,1825.61,0.96
28035,1,0.5,120,473.47,425.77,47.69,1,0.98,-0.02,61,30,13,38,99,881.93,660.16,221.77,0.98,1,-0.02,0.5,0.5,0.42,0.86,0.8,644.16,881.5,0.98
28036,0.5,0.38,300,530.23,435.76,94.48,0.87,1,0.13,27,32,9,34,83,1064.92,653.36,411.56,0.98,0.87,0.11,0.8,0.95,0.12,0.73,0.6,930.66,987.92,1
28037,1,0.75,120,492.53,437.23,55.31,1,0.98,-0.02,6,7,8,28,51,1106.92,779.09,327.83,1,0.87,0.13,0.18,0.4,0.45,0.78,0.6,1116.45,1271,0.98
