Subject	ChooseA_ACC	ChooseB_ACC	NumTrainingTrials	Pre_Incongruent_SimonRT	Pre_Congruent_SimonRT	Pre_CongruencyEffect_SimonRT	Pre_Incongruent_SimonACC	Pre_Congruent_SimonACC	Pre_CongruencyEffect_SimonACC	Pre_OPScore	Pre_RSScore	Pre_RavensScore	Pre_NDCompScore	ND_Percentile	Pre_Switch_RT	Pre_Repeat_RT	Pre_SwitchEffect_RT	Pre_Switch_ACC	Pre_Repeat_ACC	Pre_SwitchEffect_ACC	Pre_Lag2_T2T1	Pre_Lag3_T2T1	Pre_ABEffect1823_T2T1	Pre_Total_3BackACC	Pre_Distractor_3BackACC	Pre_Total_3BackRT	Pre_Distractor_3BackRT	Simon_ACC
28020	0.7500	0.8750	180	580.2857	484.8140	95.4718	.9333	.9556	.0222	25	28	6	35	90.00	1626.4167	979.3556	647.0611	1.0000	.8000	.2000	.8421	.9474	.0844	.5875	.7000	1137.0851	1148.4286	.96
28021	0.5000	1.0000	360	454.5833	392.1111	62.4722	.8000	1.0000	.2000	55	51	13	33	80.00	1229.4000	891.4545	337.9455	.9778	1.0000	-.0222	.7143	.9130	.1613	.9000	.7500	758.8472	989.5333	1.00
28022	0.5625	0.7500	120	429.7692	408.3182	21.4510	.8667	.9778	.1111	48	50	12	34	83.00	1048.0714	766.7045	281.3669	.9778	.9333	.0444	.7500	.8182	.1028	.8250	.7500	1244.1500	1278.0667	.98
28023	0.0000	1.0000	60	486.2143	475.8864	10.3279	.9333	.9778	.0444	46	3	12	35	90.00	1147.9333	723.7692	424.1641	.8667	1.0000	-.1333	.7727	.7826	.1390	.7500	.7000	840.5500	1024.6429	.98
28024	0.5000	0.4375	360	667.7857	484.5455	183.2403	.9333	.9778	.0444	50	10	9	30	62.00	1258.9333	804.4651	454.4682	.9556	1.0000	-.0444	.8095	.6957	.1822	.7750	.8000	1072.2419	1235.6250	.98
28025	0.9375	0.6250	60	460.7000	358.5682	102.1318	.6667	.9778	.3111	4	45	11	33	80.00	940.8462	578.7250	362.1212	.8889	.8667	.0222	.9167	.7222	.1542	.7250	.5500	1151.3448	1025.3636	.98
28026	0.8750	0.6875	60	453.2667	404.7209	48.5457	1.0000	.9556	-.0444	36	35	15	37	99.00	1137.9231	741.4048	396.5183	.9333	.8667	.0667	1.0000	.9583	-.0246	.9000	.9500	666.3194	817.0526	.96
28028	0.4375	0.8125	120	486.0769	420.0698	66.0072	.8667	.9556	.0889	41	31	17	38	99.00	1213.3636	854.1905	359.1732	.9333	.7333	.2000	.7500	.8696	.1431	.8375	.8500	1126.0448	1121.7647	.96
28029	0.6875	0.7500	360	486.9286	428.9091	58.0195	.9333	.9778	.0444	8	0	13	30	62.00	1487.8667	1196.9556	290.9111	1.0000	1.0000	.0000	.0000	.1500	.4739	.8625	.7000	704.2464	889.0714	.98
28030	0.2500	0.8750	60	508.5000	422.4667	86.0333	.9333	1.0000	.0667	57	40	9	34	83.00	1293.7333	890.9302	402.8031	.9556	1.0000	-.0444	.6190	.5000	.3405	.9500	1.0000	1021.6447	1269.9500	1.00
