Subject	RS Score	RS Total	RS Reading Errors	RS Speed Error	RS Accuracy	OS Score	OS Total	OS Math Errors	OS Speed Errors	OS Accuracy
28020	28	52	0	0	0	25	42	4	1	3
28021	51	67	1	1	0	55	66	2	1	1
28022	50	58	7	1	6	48	62	7	2	5
28023	3	21	7	4	3	46	66	6	3	3
28024	10	34	17	4	13	50	63	3	0	3
28025	31	45	6	0	0	4	36	10	2	8
28026	35	63	1	0	1	36	61	4	0	4
28028	31	52	6	1	5	41	56	3	0	3
28029	0	15	1	0	1	0	8	6	0	6
28030	40	58	2	1	1	57	72	2	0	2
28031	44	66	4	4	0	43	62	6	2	4
28032	34	62	3	1	2	65	69	2	0	2
28033	20	51	5	2	3	62	68	6	1	5
28034	14	42	2	0	2	50	63	1	0	1
28035	30	54	3	1	2	61	67	2	0	2
28036	32	61	1	1	0	27	52	3	0	3
28037	7	32	3	0	3	6	8	5	0	5
28038	55	67	3	0	3	50	65	5	2	3
28039	39	54	2	0	2	43	62	2	0	2
28041	39	62	3	3	0	56	66	2	0	2
28042	18	49	9	2	7	68	74	3	0	3
28043	28	58	1	0	1	14	35	10	0	10
28044	35	56	8	5	3	23	47	8	0	8
28045	32	59	8	0	8	39	57	7	0	7
28047	14	60	8	5	3	15	40	11	5	6
28048	41	65	1	0	1	75	75	1	0	1
28049	47	63	14	3	11	46	61	16	2	14
28050	15	39	6	1	5	20	52	3	0	3
28051	38	61	3	0	3	55	65	3	0	3
28052	47	58	4	1	3	43	66	1	0	1
28053	4	19	6	0	6	35	59	4	0	4
28054	55	66	0	0	0	49	67	2	0	2
28055	30	50	5	2	3	43	58	11	0	11
28056	33	57	1	0	1	50	61	2	0	2
28057	24	49	1	0	1	6	30	2	0	2
28058	16	28	4	1	3	30	44	5	0	5
28059	43	61	6	0	6	62	70	4	1	3
28060	70	72	0	0	0	64	67	3	0	3
28061	23	52	3	0	3	29	54	2	0	2
28062	57	69	6	1	5	63	73	5	0	5
28063	39	55	7	1	6	68	72	4	0	4
28064	14	38	4	3	1	19	45	2	1	1
28065	61	68	2	1	1	46	64	4	2	2
28066	55	67	6	0	6	47	64	4	0	4
28067	37	61	2	1	1	39	60	2	0	2
28068	46	64	1	1	0	62	72	6	0	6
28069	26	50	0	0	0	32	51	5	2	3
28070	75	75	2	1	1	69	73	4	0	4
28071	31	51	1	0	1	60	70	3	0	3
28072	51	65	2	1	1	42	58	7	0	7
28073	36	57	3	0	3	48	65	9	4	5
28074	32	43	4	1	3	42	65	2	0	2
28075	46	64	2	1	1	55	69	8	0	8
28076	50	68	3	0	3	23	44	10	1	9
28077	3	18	6	1	5	24	40	8	4	4
28078	26	49	4	1	3	27	50	4	0	4
28079	45	63	0	0	0	37	54	4	2	2
28080	25	55	2	1	1	27	45	5	0	5
28081	28	45	4	0	4	30	49	4	1	3
28082	3	17	7	1	6	0	8	10	3	7
28083	12	51	2	0	2	44	63	2	0	2
28084	64	72	0	0	0	75	75	4	0	4
28086	47	60	9	1	8	68	71	3	0	3
28094	50	65	2	1	1	36	64	2	1	1
28095	37	50	6	1	5	4	61	6	1	5
28096	59	72	1	1	0	55	61	5	0	5
28097	64	71	5	2	3	39	61	5	0	5
28098	68	74	1	1	0	61	73	3	0	3
28100	51	62	3	1	2	61	67	3	1	2
28104	27	50	2	1	1	34	56	3	0	3
28105	48	58	3	0	3	28	49	5	0	5
28106	62	70	0	0	0	32	61	3	0	3
28108	28	51	3	3	0	28	40	7	3	4
28109	29	47	5	3	2	59	68	0	0	0
28110	12	43	5	2	3	28	57	2	0	2
28111	61	68	4	1	3	32	61	12	2	10
28112	28	50	5	0	5	51	63	8	0	8
28113	27	58	1	0	1	40	61	4	0	4
28114	25	45	1	1	0	46	65	3	0	3
28115	24	49	4	2	2	37	61	5	2	3
28116	37	64	8	7	1	61	72	8	1	7
